red_fighter,blue_fighter,red_odds,blue_odds,red_ev,blue_ev,date,location,country,winner,title_bout,weight_class,gender,no_of_rounds,blue_current_lose_streak,blue_current_win_streak,blue_draw,blue_avg_sig_str_landed,blue_avg_sig_str_pct,blue_avg_sub_att,blue_avg_td_landed,blue_avg_td_pct,blue_longest_win_streak,blue_losses,blue_total_rounds_fought,blue_total_title_bouts,blue_win_by_decision_majority,blue_win_by_decision_split,blue_win_by_decision_unanimous,blue_win_by_ko_tko,blue_win_by_submission,blue_win_by_tko_doctor_stoppage,blue_wins,blue_stance,blue_height_cms,blue_reach_cms,blue_weight_lbs,red_current_lose_streak,red_current_win_streak,red_draw,red_avg_sig_str_landed,red_avg_sig_str_pct,red_avg_sub_att,red_avg_td_landed,red_avg_td_pct,red_longest_win_streak,red_losses,red_total_rounds_fought,red_total_title_bouts,red_win_by_decision_majority,red_win_by_decision_split,red_win_by_decision_unanimous,red_win_by_ko_tko,red_win_by_submission,red_win_by_tko_doctor_stoppage,red_wins,red_stance,red_height_cms,red_reach_cms,red_weight_lbs,red_age,blue_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,significant_strikes_dif,avg_sub_att_dif,avg_td_dif,empty_arena,blue_match_weightclass_rank,red_match_weightclass_rank,red_women_s_flyweight_rank,red_women_s_featherweight_rank,red_women_s_strawweight_rank,red_women_s_bantamweight_rank,red_heavyweight_rank,red_light_heavyweight_rank,red_middleweight_rank,red_welterweight_rank,red_lightweight_rank,red_featherweight_rank,red_bantamweight_rank,red_flyweight_rank,red_pound_for_pound_rank,blue_women_s_flyweight_rank,blue_women_s_featherweight_rank,blue_women_s_strawweight_rank,blue_women_s_bantamweight_rank,blue_heavyweight_rank,blue_light_heavyweight_rank,blue_middleweight_rank,blue_welterweight_rank,blue_lightweight_rank,blue_featherweight_rank,blue_bantamweight_rank,blue_flyweight_rank,blue_pound_for_pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,red_dec_odds,blue_dec_odds,red_sub_odds,blue_sub_odds,red_ko_odds,blue_ko_odds
Renato Moicano,Chris Duncan,150,-188,150.0,53.1915,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,5,0,4,0,5.02,0.46,0.7,3.27,0.42,4,2,17,0,0,1,2,1,3,0,7,Orthodox,177.8,180.34,155,2,0,0,4.17,0.48,0.5,1.67,0.41,4,7,41,1,0,2,2,2,6,0,12,Orthodox,180.34,182.88,155,36,32,-2,4,0,-5,-5,-24,-1,-1,-3,-2.54,-2.54,-4,0.85,0.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,333.0,350.0,750.0,800.0,125.0
Virna Jandiroba,Tabatha Ricci,-120,-105,83.3333,95.2381,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Women's Strawweight,FEMALE,3,0,1,0,4.18,0.36,0.1,2.69,0.37,4,3,27,0,0,1,4,1,1,0,7,Orthodox,154.94,154.94,115,1,0,0,2.33,0.41,1.5,2.85,0.37,5,4,33,1,0,0,4,1,3,0,8,Orthodox,160.02,162.56,115,37,31,-1,1,-1,-1,-1,-6,-1,0,-2,-5.08,-7.62,-6,1.85,-1.4,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,120.0,400.0,1800.0,1600.0,1400.0
Abdul Rakhman Yakhyaev,Brendson Ribeiro,-2000,900,5.0,900.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Light Heavyweight,MALE,3,2,0,0,3.06,0.42,0.6,0.9,0.42,2,4,12,0,0,1,0,1,1,0,3,Orthodox,190.5,205.74,205,0,2,0,20.95,0.78,14.3,14.29,1.0,2,0,2,0,0,0,0,1,1,0,2,Orthodox,187.96,198.12,205,25,29,2,-2,0,1,4,10,0,0,0,2.54,7.62,4,-17.89,-13.7,-13.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.0,1800.0,138.0,2500.0,-133.0,1800.0
Ethyn Ewing,Rafael Estevam,-150,120,66.6667,120.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,0,4,0,2.1,0.54,0.3,6.01,0.38,4,0,11,0,0,0,3,1,0,0,4,Orthodox,172.72,175.26,135,0,1,0,5.67,0.52,0.0,3.0,0.6,1,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,175.26,135,30,29,0,3,3,3,0,8,0,1,0,5.08,0.0,-1,-3.57,0.3,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,225.0,1600.0,650.0,275.0,1000.0
Tommy McMillen,Manolo Zecchini,-1408,750,7.1023,750.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Featherweight,MALE,3,1,0,0,2.34,0.21,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,145,0,1,0,7.53,0.51,0.0,0.0,0.0,1,0,3,0,1,0,0,0,0,0,1,Orthodox,182.88,187.96,145,28,29,1,-1,-1,-1,1,-2,0,0,0,-10.16,-15.24,1,-5.19,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,1400.0,-150.0,2800.0,200.0,1400.0
Jose Delano,Robert Ruchala,-350,275,28.5714,275.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Featherweight,MALE,3,1,0,0,2.27,0.35,0.0,2.0,0.33,0,1,3,0,0,0,0,0,0,0,0,Switch,172.72,182.88,145,0,1,0,9.73,0.65,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,177.8,145,29,27,1,-1,-1,-1,1,0,0,0,0,0.0,5.08,-2,-7.46,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,550.0,450.0,1200.0,250.0,650.0
Guilherme Pat,Thomas Petersen,-120,-105,83.3333,95.2381,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Heavyweight,MALE,3,1,0,0,3.38,0.58,0.5,3.71,0.5,1,3,15,0,0,0,2,0,1,0,3,Southpaw,185.42,187.96,250,0,1,0,4.27,0.64,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,198.12,205.74,265,31,31,1,-1,0,2,3,12,0,0,1,-12.7,-17.78,0,-0.89,0.5,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,200.0,2200.0,800.0,175.0,575.0
Alessandro Costa,Stewart Nicoll,-400,300,25.0,300.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Flyweight,MALE,3,2,0,0,3.0,0.34,0.0,2.55,0.14,0,2,4,0,0,0,0,0,0,0,0,Orthodox,165.1,165.1,125,1,0,0,3.64,0.44,0.5,0.46,0.16,1,3,16,0,0,1,0,2,0,0,3,Orthodox,162.56,170.18,125,30,29,1,0,-1,-3,-1,-12,0,-2,0,2.54,-5.08,-1,-0.64,-0.5,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,450.0,375.0,1150.0,200.0,1700.0
Lando Vannata,Darrius Flowers,-225,175,44.4444,175.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,3,0,0,3.07,0.49,0.0,0.98,0.28,1,3,8,0,0,0,0,0,1,0,1,Orthodox,175.26,180.34,155,2,0,2,4.52,0.45,0.3,1.09,0.37,1,7,32,0,0,1,1,1,1,0,4,Orthodox,175.26,180.34,155,34,31,1,0,0,-3,-4,-24,0,-1,0,0.0,0.0,-3,-1.45,-0.3,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,800.0,350.0,1900.0,350.0,310.0
Alice Pereira,Hailey Cowan,-125,100,80.0,100.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Women's Bantamweight,FEMALE,3,2,0,0,2.5,0.42,0.0,1.63,0.36,1,2,8,0,0,1,0,0,0,0,1,Southpaw,172.72,170.18,135,1,0,0,2.47,0.31,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,20,34,1,0,1,1,1,5,0,0,0,0.0,-10.16,14,0.03,0.0,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,150.0,1800.0,800.0,475.0,1500.0
Azamat Bekoev,Tresean Gore,-699,450,14.3062,450.0,2026-04-04,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,3,2,0,0,2.76,0.42,0.9,1.83,0.75,2,4,12,0,0,0,0,0,2,0,2,Switch,182.88,190.5,185,1,0,0,4.07,0.45,0.0,4.49,0.45,2,1,5,0,0,0,0,2,0,0,2,Orthodox,182.88,182.88,185,30,31,1,0,0,0,3,7,0,-2,2,0.0,7.62,1,-1.31,0.9,-2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,650.0,360.0,1300.0,128.0,1600.0
