red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
POLIANA BOTELHO,LUANA CAROLINA,2021-05-01,29 28 28,28 29 29
KAI KAMAKA,TJ BROWN,2021-05-01,28 28 30,29 29 27
MERAB DVALISHVILI,CODY STAMANN,2021-05-01,30 29 29,27 28 28
RANDA MARKOS,LUANA PINHEIRO,2021-05-01,- - -,- - -
ANDREAS MICHAILIDIS,KB BHULLAR,2021-05-01,29 30 30,28 27 27
LOMA LOOKBOONMEE,SAM HUGHES,2021-05-01,29 29 29,28 28 28
LUKE SANDERS,FELIPE COLARES,2021-05-01,28 28 28,29 29 29
GIGA CHIKADZE,CUB SWANSON,2021-05-01,- - -,- - -
DOMINICK REYES,JIRI PROCHAZKA,2021-05-01,9 9 9,10 10 10
ION CUTELABA,DUSTIN JACOBY,2021-05-01,28 29 28,29 28 28
SEAN STRICKLAND,KRZYSZTOF JOTKO,2021-05-01,30 29 30,27 28 27
SEAN STRICKLAND,PAULO COSTA,2024-06-01,49 50 46,46 45 49
KEVIN HOLLAND,MICHAL OLEKSIEJCZUK,2024-06-01,- - -,- - -
MITCH RAPOSO,ANDRE LIMA,2024-06-01,27 27 29,30 30 28
PHIL ROWE,JAKE MATTHEWS,2024-06-01,28 27 28,29 30 29
GRANT DAWSON,JOE SOLECKI,2024-06-01,29 30 30,28 27 27
MICKEY GALL,BASSIL HAFEZ,2024-06-01,27 27 28,30 30 29
AILIN PEREZ,JOSELYNE EDWARDS,2024-06-01,29 29 30,28 28 27
ISLAM MAKHACHEV,DUSTIN POIRIER,2024-06-01,39 39 38,37 37 38
JAILTON ALMEIDA,ALEXANDR ROMANOV,2024-06-01,- - -,- - -
CESAR ALMEIDA,ROMAN KOPYLOV,2024-06-01,28 27 29,29 30 28
NIKO PRICE,ALEX MORONO,2024-06-01,29 29 29,28 28 28
RANDY BROWN,ELIZEU ZALESKI DOS SANTOS,2024-06-01,29 29 29,28 28 28
ARIANE DA SILVA,MELISSA GATTO,2023-07-01,28 30 29,29 27 28
MAX GRIFFIN,MICHAEL MORALES,2023-07-01,28 28 28,29 29 29
BRUNNO FERREIRA,NURSULTON RUZIBOEV,2023-07-01,- - -,- - -
ISMAEL BONFIM,BENOIT SAINT DENIS,2023-07-01,- - -,- - -
KEVIN LEE,RINAT FAKHRETDINOV,2023-07-01,- - -,- - -
SEAN STRICKLAND,ABUS MAGOMEDOV,2023-07-01,9 9 9,10 10 10
DAMIR ISMAGULOV,GRANT DAWSON,2023-07-01,26 27 27,30 30 30
JOANDERSON BRITO,WESTIN WILSON,2023-07-01,- - -,- - -
ALEXANDR ROMANOV,BLAGOY IVANOV,2023-07-01,30 30 30,27 27 27
IVANA PETROVIC,LUANA CAROLINA,2023-07-01,28 28 28,29 29 29
YANA SANTOS,KAROL ROSA,2023-07-01,29 28 28,28 29 29
GURAM KUTATELADZE,ELVES BRENER,2023-07-01,20 20 20,18 18 18
ILIR LATIFI,ALEKSEI OLEINIK,2022-10-01,30 30 30,27 27 27
JOAQUIM SILVA,JESSE RONSON,2022-10-01,10 10 10,9 9 9
JOHN CASTANEDA,DANIEL SANTOS,2022-10-01,10 10 10,9 9 9
GUIDO CANNETTI,RANDY COSTA,2022-10-01,- - -,- - -
