winner_name,loser_name,event_date,method,round,time,time_format,bout_type,event_name,event_location,winner_stance,loser_stance,winner,delta_kd,delta_sig_str_pct,delta_total_str_pct,delta_td_pct,delta_sub_att,delta_rev,delta_ctrl,delta_sig_str_head_acc_pct,delta_sig_str_body_acc_pct,delta_sig_str_leg_acc_pct,delta_sig_str_distance_acc_pct,delta_sig_str_clinch_acc_pct,delta_sig_str_ground_acc_pct,delta_sig_str_head_tar_pct,delta_sig_str_body_tar_pct,delta_sig_str_leg_tar_pct,delta_sig_str_distance_pos_pct,delta_sig_str_clinch_pos_pct,delta_sig_str_ground_pos_pct,delta_height,delta_reach,delta_slpm_cs,delta_str_acc_cs,delta_sapm_cs,delta_str_def_cs,delta_td_avg_cs,delta_td_acc_cs,delta_td_def_cs,delta_sub_avg_cs,time_seconds
ABDUL RAKHMAN YAKHYAEV,JULIUS WALKER,2026-06-27,KO/TKO,1.0,0:08,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Orthodox,red,1.0,75.0,75.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,100.0,0.0,71.43,100.0,0.0,0.0,16.0,0.0,83.0,-5.08,0.0,4.92,15.0,-1.96,17.0,7.04,37.0,0.0,7.4,8
ABUS MAGOMEDOV,MICHAL OLEKSIEJCZUK,2026-06-27,Submission,1.0,3:25,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Southpaw,red,1.0,11.0,10.72,0.0,1.0,0.0,33.0,16.67,30.0,-16.67,9.68,100.0,0.0,30.0,0.0,-30.0,-10.0,10.0,0.0,5.08,10.16,-2.67,-4.0,-1.11,-4.0,1.51,17.0,48.0,0.6,205
ASU ALMABAYEV,CHARLES JOHNSON,2026-06-27,Submission,3.0,3:33,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Switch,red,0.0,8.0,15.43,66.0,0.0,0.0,528.0,17.8,12.86,19.04,4.75,25.0,69.23,30.0,-13.0,-17.0,-21.0,-11.0,32.0,-12.7,-12.7,-2.26,2.0,-1.94,-2.0,4.27,29.0,-22.0,1.0,213
JEAN MATSUMOTO,BEKZAT ALMAKHAN,2026-06-27,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Orthodox,blue,-1.0,-9.0,-6.82,20.0,0.0,0.0,96.0,-14.86,-37.62,-25.0,-8.76,-57.14,75.0,-30.0,0.0,29.0,-6.0,2.0,3.0,-2.54,0.0,2.77,-1.0,1.06,-3.0,2.85,42.0,-3.0,0.5,300
DANIIL DONCHENKO,THEODOR BERGGREN,2026-06-27,KO/TKO,2.0,1:35,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Switch,red,2.0,31.0,26.12,0.0,0.0,0.0,10.0,6.36,27.4,-6.45,32.26,1.92,0.0,-43.0,6.0,36.0,-1.0,1.0,0.0,0.0,-10.16,4.58,27.0,-7.98,37.0,0.58,33.0,75.0,0.0,95
FARMAN HASANOV,ERIC NOLAN,2026-06-27,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Orthodox,red,0.0,22.0,17.64,62.0,0.0,0.0,669.0,23.28,-50.0,0.0,21.94,0.0,50.0,2.0,-2.0,0.0,-10.0,0.0,9.0,-7.62,0.0,-0.28,17.0,-1.59,26.0,17.0,62.0,-44.0,0.0,300
IKRAM ALISKEROV,BRUNNO FERREIRA,2026-06-27,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Southpaw,Orthodox,red,0.0,13.0,25.99,83.0,1.0,0.0,526.0,12.92,0.0,0.0,8.31,0.0,84.62,0.0,4.0,-3.0,-24.0,0.0,23.0,5.08,10.16,2.29,11.0,0.26,-6.0,2.82,46.0,50.0,0.1,300
KAAN OFLI,JAVIER REYES,2026-06-27,Submission,1.0,4:16,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Orthodox,red,1.0,45.0,59.25,0.0,1.0,0.0,32.0,42.6,30.0,0.0,41.9,0.0,80.0,10.0,-5.0,-5.0,-24.0,0.0,23.0,0.0,-17.78,-3.79,0.0,0.11,15.0,-0.93,-43.0,-50.0,0.7,256
MATHEUS CAMILO,NAZIM SADYKHOV,2026-06-27,KO/TKO,1.0,1:31,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Southpaw,blue,1.0,40.0,40.0,0.0,0.0,0.0,3.0,37.5,0.0,50.0,33.33,0.0,50.0,42.0,-34.0,-8.0,17.0,-34.0,17.0,0.0,0.0,-2.47,-5.0,-2.37,17.0,3.08,8.0,-72.0,0.4,91
NURSULTON RUZIBOEV,ANDREY PULYAEV,2026-06-27,Submission,1.0,3:58,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Southpaw,red,0.0,0.0,7.0,100.0,1.0,0.0,148.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,-5.08,-1.22,-9.0,-0.26,-6.0,1.09,64.0,-23.0,0.3,238
