red_fighter_name,blue_fighter_name,event_date,red_fighter_result,blue_fighter_result,fight_outcome,method,round,time,time_format,bout_type,event_name,event_location,red_fighter_kd,blue_fighter_kd,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str_pct,blue_fighter_total_str_pct,red_fighter_td_pct,blue_fighter_td_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head_acc_pct,blue_fighter_sig_str_head_acc_pct,red_fighter_sig_str_body_acc_pct,blue_fighter_sig_str_body_acc_pct,red_fighter_sig_str_leg_acc_pct,blue_fighter_sig_str_leg_acc_pct,red_fighter_sig_str_distance_acc_pct,blue_fighter_sig_str_distance_acc_pct,red_fighter_sig_str_clinch_acc_pct,blue_fighter_sig_str_clinch_acc_pct,red_fighter_sig_str_ground_acc_pct,blue_fighter_sig_str_ground_acc_pct,red_fighter_sig_str_head_tar_pct,blue_fighter_sig_str_head_tar_pct,red_fighter_sig_str_body_tar_pct,blue_fighter_sig_str_body_tar_pct,red_fighter_sig_str_leg_tar_pct,blue_fighter_sig_str_leg_tar_pct,red_fighter_sig_str_distance_pos_pct,blue_fighter_sig_str_distance_pos_pct,red_fighter_sig_str_clinch_pos_pct,blue_fighter_sig_str_clinch_pos_pct,red_fighter_sig_str_ground_pos_pct,blue_fighter_sig_str_ground_pos_pct,red_fighter_height,red_fighter_reach,red_fighter_stance,red_fighter_slpm_cs,red_fighter_str_acc_cs,red_fighter_sapm_cs,red_fighter_str_def_cs,red_fighter_td_avg_cs,red_fighter_td_acc_cs,red_fighter_td_def_cs,red_fighter_sub_avg_cs,blue_fighter_height,blue_fighter_reach,blue_fighter_stance,blue_fighter_slpm_cs,blue_fighter_str_acc_cs,blue_fighter_sapm_cs,blue_fighter_str_def_cs,blue_fighter_td_avg_cs,blue_fighter_td_acc_cs,blue_fighter_td_def_cs,blue_fighter_sub_avg_cs,winner,time_seconds
ABDUL RAKHMAN YAKHYAEV,JULIUS WALKER,2026-06-27,W,L,red_win,KO/TKO,1.0,0:08,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",1.0,0.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,71.43,0.0,100.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,83.0,0.0,187.96,198.12,Orthodox,8.64,68.0,2.22,59.0,11.11,75.0,100.0,7.4,193.04,198.12,Orthodox,3.72,53.0,4.18,42.0,4.07,38.0,100.0,0.0,red,8
ABUS MAGOMEDOV,MICHAL OLEKSIEJCZUK,2026-06-27,W,L,red_win,Submission,1.0,3:25,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",1.0,0.0,37.0,26.0,37.04,26.32,0.0,0.0,1.0,0.0,0.0,0.0,36.0,3.0,25.0,8.33,80.0,50.0,50.0,66.67,36.0,26.32,100.0,0.0,0.0,0.0,50.0,20.0,40.0,40.0,10.0,40.0,90.0,100.0,10.0,0.0,0.0,0.0,187.96,198.12,Orthodox,3.06,48.0,3.34,56.0,2.5,59.0,100.0,0.6,182.88,187.96,Southpaw,5.73,52.0,4.45,60.0,0.99,42.0,52.0,0.0,red,205
ASU ALMABAYEV,CHARLES JOHNSON,2026-06-27,W,L,red_win,Submission,3.0,3:33,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",0.0,0.0,54.0,46.0,71.57,56.14,66.0,0.0,1.0,1.0,0.0,0.0,528.0,0.0,44.12,26.32,70.0,57.14,85.71,66.67,48.65,43.9,100.0,75.0,69.23,0.0,53.0,23.0,25.0,38.0,21.0,38.0,64.0,85.0,3.0,14.0,32.0,0.0,162.56,165.1,Orthodox,2.28,51.0,1.94,53.0,4.74,45.0,44.0,1.4,175.26,177.8,Switch,4.54,49.0,3.88,55.0,0.47,16.0,66.0,0.4,red,213
BEKZAT ALMAKHAN,JEAN MATSUMOTO,2026-06-27,L,W,blue_win,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",1.0,0.0,43.0,34.0,43.75,36.93,0.0,20.0,0.0,0.0,0.0,0.0,2.0,98.0,39.86,25.0,90.0,52.38,100.0,75.0,41.94,33.18,100.0,42.86,0.0,75.0,85.0,55.0,13.0,13.0,1.0,30.0,94.0,88.0,5.0,7.0,0.0,3.0,170.18,172.72,Orthodox,2.58,39.0,4.23,52.0,0.0,0.0,59.0,0.0,167.64,172.72,Orthodox,5.35,38.0,5.29,49.0,2.85,42.0,56.0,0.5,blue,300
DANIIL DONCHENKO,THEODOR BERGGREN,2026-06-27,W,L,red_win,KO/TKO,2.0,1:35,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",2.0,0.0,66.0,35.0,66.97,40.85,0.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0,36.36,30.0,81.25,53.85,93.55,100.0,65.59,33.33,76.92,75.0,0.0,0.0,22.0,65.0,36.0,30.0,40.0,4.0,85.0,86.0,14.0,13.0,0.0,0.0,180.34,180.34,Orthodox,8.07,62.0,2.8,70.0,0.58,33.0,75.0,0.0,180.34,190.5,Switch,3.49,35.0,10.78,33.0,0.0,0.0,0.0,0.0,red,95
FARMAN HASANOV,ERIC NOLAN,2026-06-27,W,L,red_win,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",0.0,0.0,51.0,29.0,60.92,43.28,62.0,0.0,0.0,0.0,0.0,0.0,672.0,3.0,51.28,28.0,50.0,100.0,0.0,0.0,51.35,29.41,0.0,0.0,50.0,0.0,95.0,93.0,4.0,6.0,0.0,0.0,90.0,100.0,0.0,0.0,9.0,0.0,180.34,187.96,Orthodox,1.4,51.0,1.0,70.0,17.0,62.0,0.0,0.0,187.96,187.96,Orthodox,1.68,34.0,2.59,44.0,0.0,0.0,44.0,0.0,red,300
IKRAM ALISKEROV,BRUNNO FERREIRA,2026-06-27,W,L,red_win,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",0.0,0.0,47.0,34.0,63.69,37.7,83.0,0.0,1.0,0.0,0.0,0.0,533.0,7.0,40.0,27.08,75.0,75.0,100.0,100.0,42.86,34.55,0.0,0.0,84.62,0.0,68.0,68.0,19.0,15.0,12.0,15.0,76.0,100.0,0.0,0.0,23.0,0.0,182.88,193.04,Southpaw,5.56,60.0,4.01,45.0,3.82,68.0,100.0,0.7,177.8,182.88,Orthodox,3.27,49.0,3.75,51.0,1.0,22.0,50.0,0.6,red,300
KAAN OFLI,JAVIER REYES,2026-06-27,W,L,red_win,Submission,1.0,4:16,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",1.0,0.0,65.0,20.0,79.25,20.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,52.94,10.34,80.0,50.0,100.0,100.0,61.9,20.0,0.0,0.0,80.0,0.0,52.0,42.0,23.0,28.0,23.0,28.0,76.0,100.0,0.0,0.0,23.0,0.0,170.18,167.64,Orthodox,2.49,47.0,3.17,56.0,0.34,7.0,0.0,0.7,170.18,185.42,Orthodox,6.28,47.0,3.06,41.0,1.27,50.0,50.0,0.0,red,256
NAZIM SADYKHOV,MATHEUS CAMILO,2026-06-27,L,W,blue_win,KO/TKO,1.0,1:31,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",0.0,1.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,37.5,0.0,0.0,0.0,50.0,0.0,33.33,0.0,0.0,0.0,50.0,33.0,75.0,34.0,0.0,33.0,25.0,33.0,50.0,34.0,0.0,33.0,50.0,177.8,175.26,Southpaw,4.69,48.0,5.42,49.0,1.08,45.0,72.0,0.2,177.8,175.26,Orthodox,2.22,43.0,3.05,66.0,4.16,53.0,0.0,0.6,blue,91
NURSULTON RUZIBOEV,ANDREY PULYAEV,2026-06-27,W,L,red_win,Submission,1.0,3:58,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",0.0,0.0,33.0,33.0,72.22,65.22,100.0,0.0,1.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,195.58,193.04,Orthodox,2.38,46.0,2.68,49.0,1.36,80.0,33.0,0.3,193.04,198.12,Southpaw,3.6,55.0,2.94,55.0,0.27,16.0,56.0,0.0,red,238
