red_fighter,blue_fighter,red_kd,blue_kd,red_sig_str,blue_sig_str,red_sig_str_pct,blue_sig_str_pct,red_total_str,blue_total_str,red_td,blue_td,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl,blue_ctrl,red_head,blue_head,red_body,blue_body,red_leg,blue_leg,red_distance,blue_distance,red_clinch,blue_clinch,red_ground,blue_ground,win_by,last_round,last_round_time,format,referee,date,location,fight_type,winner,red_sig_str_landed,red_sig_str_attempted,blue_sig_str_landed,blue_sig_str_attempted,red_sig_str_pct_num,blue_sig_str_pct_num,red_total_str_landed,red_total_str_attempted,blue_total_str_landed,blue_total_str_attempted,red_td_landed,red_td_attempted,blue_td_landed,blue_td_attempted,red_td_pct_num,blue_td_pct_num,red_head_landed,red_head_attempted,blue_head_landed,blue_head_attempted,red_body_landed,red_body_attempted,blue_body_landed,blue_body_attempted,red_leg_landed,red_leg_attempted,blue_leg_landed,blue_leg_attempted,red_distance_landed,red_distance_attempted,blue_distance_landed,blue_distance_attempted,red_clinch_landed,red_clinch_attempted,blue_clinch_landed,blue_clinch_attempted,red_ground_landed,red_ground_attempted,blue_ground_landed,blue_ground_attempted,last_round_time_seconds
Adrian Yanez,Gustavo Lopez,2,0,41 of 103,23 of 51,39%,45%,41 of 103,23 of 51,0 of 0,0 of 1,,0%,0,0,0,0,0:03,0:00,32 of 83,14 of 40,8 of 19,5 of 7,1 of 1,4 of 4,41 of 102,23 of 51,0 of 0,0 of 0,0 of 1,0 of 0,KO/TKO,3,0:27,3 Rnd (5-5-5),Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Bantamweight Bout,Adrian Yanez,41,103,23,51,39.0,45.0,41,103,23,51,0,0,0,1,,0.0,32,83,14,40,8,19,5,7,1,1,4,4,41,102,23,51,0,0,0,0,0,1,0,0,27
Trevin Giles,Roman Dolidze,0,0,27 of 57,32 of 67,47%,47%,43 of 73,75 of 110,1 of 2,1 of 3,50%,33%,1,2,0,1,1:15,4:15,22 of 51,10 of 37,4 of 4,7 of 14,1 of 2,15 of 16,15 of 42,28 of 59,4 of 5,3 of 6,8 of 10,1 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Middleweight Bout,Trevin Giles,27,57,32,67,47.0,47.0,43,73,75,110,1,2,1,3,50.0,33.0,22,51,10,37,4,4,7,14,1,2,15,16,15,42,28,59,4,5,3,6,8,10,1,2,300
Tai Tuivasa,Harry Hunsucker,1,0,14 of 18,2 of 6,77%,33%,14 of 18,2 of 6,0 of 0,0 of 0,,,0,0,0,0,0:10,0:00,10 of 14,1 of 5,0 of 0,0 of 0,4 of 4,1 of 1,9 of 10,2 of 6,0 of 0,0 of 0,5 of 8,0 of 0,KO/TKO,1,0:49,3 Rnd (5-5-5),Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Heavyweight Bout,Tai Tuivasa,14,18,2,6,77.0,33.0,14,18,2,6,0,0,0,0,,,10,14,1,5,0,0,0,0,4,4,1,1,9,10,2,6,0,0,0,0,5,8,0,0,49
Cheyanne Buys,Montserrat Conejo,0,0,31 of 65,15 of 41,47%,36%,49 of 87,136 of 168,0 of 0,4 of 5,,80%,0,2,3,1,1:04,9:53,26 of 60,10 of 35,5 of 5,0 of 1,0 of 0,5 of 5,26 of 56,15 of 41,2 of 2,0 of 0,3 of 7,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Montserrat Conejo,31,65,15,41,47.0,36.0,49,87,136,168,0,0,4,5,,80.0,26,60,10,35,5,5,0,1,0,0,5,5,26,56,15,41,2,2,0,0,3,7,0,0,300
Marion Reneau,Macy Chiasson,0,0,30 of 63,51 of 138,47%,36%,59 of 93,92 of 184,2 of 4,1 of 1,50%,100%,0,0,0,1,2:15,3:48,14 of 40,29 of 110,7 of 13,15 of 20,9 of 10,7 of 8,25 of 54,36 of 119,5 of 9,13 of 15,0 of 0,2 of 4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Macy Chiasson,30,63,51,138,47.0,36.0,59,93,92,184,2,4,1,1,50.0,100.0,14,40,29,110,7,13,15,20,9,10,7,8,25,54,36,119,5,9,13,15,0,0,2,4,300
Leonardo Santos,Grant Dawson,0,0,30 of 67,46 of 84,44%,54%,74 of 115,75 of 132,1 of 2,1 of 13,50%,7%,0,0,0,0,1:21,8:18,14 of 45,16 of 48,6 of 10,23 of 27,10 of 12,7 of 9,28 of 65,33 of 68,2 of 2,9 of 11,0 of 0,4 of 5,KO/TKO,3,4:59,3 Rnd (5-5-5),Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Lightweight Bout,Grant Dawson,30,67,46,84,44.0,54.0,74,115,75,132,1,2,1,13,50.0,7.0,14,45,16,48,6,10,23,27,10,12,7,9,28,65,33,68,2,2,9,11,0,0,4,5,299
Song Kenan,Max Griffin,0,1,14 of 24,17 of 28,58%,60%,14 of 24,17 of 28,0 of 0,0 of 1,,0%,0,0,0,0,0:00,0:28,5 of 10,11 of 17,5 of 8,2 of 7,4 of 6,4 of 4,14 of 24,16 of 27,0 of 0,0 of 0,0 of 0,1 of 1,KO/TKO,1,2:20,3 Rnd (5-5-5),Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Welterweight Bout,Max Griffin,14,24,17,28,58.0,60.0,14,24,17,28,0,0,0,1,,0.0,5,10,11,17,5,8,2,7,4,6,4,4,14,24,16,27,0,0,0,0,0,0,1,1,140
Derek Brunson,Kevin Holland,0,0,43 of 93,36 of 74,46%,48%,226 of 323,190 of 236,6 of 12,1 of 1,50%,100%,1,0,0,0,16:55,1:47,28 of 74,28 of 64,7 of 10,2 of 4,8 of 9,6 of 6,14 of 43,29 of 64,10 of 10,5 of 7,19 of 40,2 of 3,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Middleweight Bout,Derek Brunson,43,93,36,74,46.0,48.0,226,323,190,236,6,12,1,1,50.0,100.0,28,74,28,64,7,10,2,4,8,9,6,6,14,43,29,64,10,10,5,7,19,40,2,3,300
Montel Jackson,Jesse Strader,2,0,15 of 26,14 of 25,57%,56%,15 of 26,14 of 25,0 of 0,0 of 0,,,0,0,0,0,0:16,0:01,11 of 22,3 of 7,2 of 2,3 of 7,2 of 2,8 of 11,5 of 12,12 of 22,3 of 4,0 of 1,7 of 10,2 of 2,KO/TKO,1,1:58,3 Rnd (5-5-5),Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Bantamweight Bout,Montel Jackson,15,26,14,25,57.0,56.0,15,26,14,25,0,0,0,0,,,11,22,3,7,2,2,3,7,2,2,8,11,5,12,12,22,3,4,0,1,7,10,2,2,118
Bruno Silva,JP Buys,3,0,37 of 61,17 of 56,60%,30%,62 of 89,37 of 76,1 of 2,0 of 1,50%,0%,0,1,0,0,3:51,1:02,29 of 51,8 of 42,4 of 6,4 of 7,4 of 4,5 of 7,26 of 43,15 of 53,1 of 2,2 of 3,10 of 16,0 of 0,KO/TKO,2,2:56,3 Rnd (5-5-5),Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Flyweight Bout,Bruno Silva,37,61,17,56,60.0,30.0,62,89,37,76,1,2,0,1,50.0,0.0,29,51,8,42,4,6,4,7,4,4,5,7,26,43,15,53,1,2,2,3,10,16,0,0,176
