red_fighter_name,blue_fighter_name,event_date,red_fighter_nickname,blue_fighter_nickname,red_fighter_result,blue_fighter_result,fight_outcome,method,round,time,time_format,referee,details,bout_type,bonus,event_name,event_location,red_fighter_kd,blue_fighter_kd,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_pct,blue_fighter_sig_str_pct,red_fighter_total_str,blue_fighter_total_str,red_fighter_td,blue_fighter_td,red_fighter_td_pct,blue_fighter_td_pct,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground,red_fighter_sig_str_head_pct,blue_fighter_sig_str_head_pct,red_fighter_sig_str_body_pct,blue_fighter_sig_str_body_pct,red_fighter_sig_str_leg_pct,blue_fighter_sig_str_leg_pct,red_fighter_sig_str_distance_pct,blue_fighter_sig_str_distance_pct,red_fighter_sig_str_clinch_pct,blue_fighter_sig_str_clinch_pct,red_fighter_sig_str_ground_pct,blue_fighter_sig_str_ground_pct,red_fighter_total_pts,blue_fighter_total_pts,time_seconds,red_fighter_sig_str_landed,red_fighter_sig_str_attempted,blue_fighter_sig_str_landed,blue_fighter_sig_str_attempted,red_fighter_sig_str_pct_num,blue_fighter_sig_str_pct_num,red_fighter_total_str_landed,red_fighter_total_str_attempted,blue_fighter_total_str_landed,blue_fighter_total_str_attempted,red_fighter_td_landed,red_fighter_td_attempted,blue_fighter_td_landed,blue_fighter_td_attempted,red_fighter_td_pct_num,blue_fighter_td_pct_num,red_fighter_sig_str_head_landed,red_fighter_sig_str_head_attempted,blue_fighter_sig_str_head_landed,blue_fighter_sig_str_head_attempted,red_fighter_sig_str_body_landed,red_fighter_sig_str_body_attempted,blue_fighter_sig_str_body_landed,blue_fighter_sig_str_body_attempted,red_fighter_sig_str_leg_landed,red_fighter_sig_str_leg_attempted,blue_fighter_sig_str_leg_landed,blue_fighter_sig_str_leg_attempted,red_fighter_sig_str_distance_landed,red_fighter_sig_str_distance_attempted,blue_fighter_sig_str_distance_landed,blue_fighter_sig_str_distance_attempted,red_fighter_sig_str_clinch_landed,red_fighter_sig_str_clinch_attempted,blue_fighter_sig_str_clinch_landed,blue_fighter_sig_str_clinch_attempted,red_fighter_sig_str_ground_landed,red_fighter_sig_str_ground_attempted,blue_fighter_sig_str_ground_landed,blue_fighter_sig_str_ground_attempted,red_key,blue_key,date_key,red_odds,blue_odds,location,country,total_fight_time_secs,red_dec_odds,blue_dec_odds,red_sub_odds,blue_sub_odds,red_ko_odds,blue_ko_odds,better_rank,empty_arena,blue_match_weightclass_rank,red_match_weightclass_rank,red_women_s_flyweight_rank,red_women_s_featherweight_rank,red_women_s_strawweight_rank,red_women_s_bantamweight_rank,red_heavyweight_rank,red_light_heavyweight_rank,red_middleweight_rank,red_welterweight_rank,red_lightweight_rank,red_featherweight_rank,red_bantamweight_rank,red_flyweight_rank,red_pound_for_pound_rank,blue_women_s_flyweight_rank,blue_women_s_featherweight_rank,blue_women_s_strawweight_rank,blue_women_s_bantamweight_rank,blue_heavyweight_rank,blue_light_heavyweight_rank,blue_middleweight_rank,blue_welterweight_rank,blue_lightweight_rank,blue_featherweight_rank,blue_bantamweight_rank,blue_flyweight_rank,blue_pound_for_pound_rank,odds_match
ABDUL RAKHMAN YAKHYAEV,JULIUS WALKER,2026-06-27,The Hunter,Juice Box,W,L,red_win,KO/TKO,1,0:08,3 Rnd (5-5-5),Jim Perdios,Punch to Head At Distance,Light Heavyweight Bout,perf,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",1,0,6 of 8,0 of 1,75.0,0.0,6 of 8,0 of 1,0 of 0,0 of 0,,,0,0,0,0,0:03,0:00,6 of 8,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 1,0 of 0,0 of 0,5 of 7,0 of 0,100.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,83.0,0.0,,,8,6,8,0,1,75.0,0.0,6,8,0,1,0,0,0,0,,,6,8,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,7,0,0,ABDUL RAKHMAN YAKHYAEV,JULIUS WALKER,2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
ABUS MAGOMEDOV,MICHAL OLEKSIEJCZUK,2026-06-27,,Hussar,W,L,red_win,Submission,1,3:25,3 Rnd (5-5-5),Jim Perdios,Guillotine Choke From Bottom Guard,Middleweight Bout,,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",1,0,10 of 27,5 of 19,37.0,26.0,10 of 27,5 of 19,0 of 0,0 of 0,,,1,0,0,0,0:36,0:03,5 of 20,1 of 12,4 of 5,2 of 4,1 of 2,2 of 3,9 of 25,5 of 19,1 of 1,0 of 0,0 of 1,0 of 0,50.0,20.0,40.0,40.0,10.0,40.0,90.0,100.0,10.0,0.0,0.0,0.0,,,205,10,27,5,19,37.0,26.0,10,27,5,19,0,0,0,0,,,5,20,1,12,4,5,2,4,1,2,2,3,9,25,5,19,1,1,0,0,0,1,0,0,ABUS MAGOMEDOV,MICHAL OLEKSIEJCZUK,2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
ASU ALMABAYEV,CHARLES JOHNSON,2026-06-27,Zulfikar,InnerG,W,L,red_win,Submission,3,3:33,3 Rnd (5-5-5),Herb Dean,Suloev Stretch From Back Control,Flyweight Bout,perf,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",0,0,28 of 51,21 of 45,54.0,46.0,73 of 102,32 of 57,6 of 9,0 of 0,66.0,,1,1,0,0,8:48,0:00,15 of 34,5 of 19,7 of 10,8 of 14,6 of 7,8 of 12,18 of 37,18 of 41,1 of 1,3 of 4,9 of 13,0 of 0,53.0,23.0,25.0,38.0,21.0,38.0,64.0,85.0,3.0,14.0,32.0,0.0,,,213,28,51,21,45,54.0,46.0,73,102,32,57,6,9,0,0,66.0,,15,34,5,19,7,10,8,14,6,7,8,12,18,37,18,41,1,1,3,4,9,13,0,0,ASU ALMABAYEV,CHARLES JOHNSON,2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
BEKZAT ALMAKHAN,JEAN MATSUMOTO,2026-06-27,The Turan Warrior,,L,W,blue_win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 28 - 29. Anders Ohlsson 28 - 29. Clemens Werner 28 - 29.,Bantamweight Bout,,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",1,0,69 of 159,79 of 229,43.0,34.0,70 of 160,89 of 241,0 of 0,2 of 10,,20.0,0,0,0,0,0:02,1:38,59 of 148,44 of 176,9 of 10,11 of 21,1 of 1,24 of 32,65 of 155,70 of 211,4 of 4,6 of 14,0 of 0,3 of 4,85.0,55.0,13.0,13.0,1.0,30.0,94.0,88.0,5.0,7.0,0.0,3.0,,,300,69,159,79,229,43.0,34.0,70,160,89,241,0,0,2,10,,20.0,59,148,44,176,9,10,11,21,1,1,24,32,65,155,70,211,4,4,6,14,0,0,3,4,BEKZAT ALMAKHAN,JEAN MATSUMOTO,2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
DANIIL DONCHENKO,THEODOR BERGGREN,2026-06-27,,Simba,W,L,red_win,KO/TKO,2,1:35,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Welterweight Bout,perf,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",2,0,71 of 107,23 of 64,66.0,35.0,73 of 109,29 of 71,0 of 0,0 of 0,,,0,0,0,0,0:27,0:17,16 of 44,15 of 50,26 of 32,7 of 13,29 of 31,1 of 1,61 of 93,20 of 60,10 of 13,3 of 4,0 of 1,0 of 0,22.0,65.0,36.0,30.0,40.0,4.0,85.0,86.0,14.0,13.0,0.0,0.0,,,95,71,107,23,64,66.0,35.0,73,109,29,71,0,0,0,0,,,16,44,15,50,26,32,7,13,29,31,1,1,61,93,20,60,10,13,3,4,0,1,0,0,DANIIL DONCHENKO,THEODOR BERGGREN,2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
FARMAN HASANOV,ERIC NOLAN,2026-06-27,The Lion,Night Time,W,L,red_win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Rich Mitchell,David Lethaby 27 - 30. Anders Ohlsson 27 - 30. Vito Paolillo 27 - 30.,Welterweight Bout,,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",0,0,21 of 41,15 of 51,51.0,29.0,53 of 87,29 of 67,17 of 27,0 of 0,62.0,,0,0,0,0,11:12,0:03,20 of 39,14 of 50,1 of 2,1 of 1,0 of 0,0 of 0,19 of 37,15 of 51,0 of 0,0 of 0,2 of 4,0 of 0,95.0,93.0,4.0,6.0,0.0,0.0,90.0,100.0,0.0,0.0,9.0,0.0,,,300,21,41,15,51,51.0,29.0,53,87,29,67,17,27,0,0,62.0,,20,39,14,50,1,2,1,1,0,0,0,0,19,37,15,51,0,0,0,0,2,4,0,0,FARMAN HASANOV,ERIC NOLAN,2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
IKRAM ALISKEROV,BRUNNO FERREIRA,2026-06-27,,The Hulk,W,L,red_win,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,David Lethaby 27 - 30. Vito Paolillo 27 - 30. Clemens Werner 27 - 30.,Middleweight Bout,,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",0,0,47 of 98,19 of 55,47.0,34.0,114 of 179,23 of 61,5 of 6,0 of 1,83.0,0.0,1,0,0,0,8:53,0:07,32 of 80,13 of 48,9 of 12,3 of 4,6 of 6,3 of 3,36 of 84,19 of 55,0 of 1,0 of 0,11 of 13,0 of 0,68.0,68.0,19.0,15.0,12.0,15.0,76.0,100.0,0.0,0.0,23.0,0.0,,,300,47,98,19,55,47.0,34.0,114,179,23,61,5,6,0,1,83.0,0.0,32,80,13,48,9,12,3,4,6,6,3,3,36,84,19,55,0,1,0,0,11,13,0,0,IKRAM ALISKEROV,BRUNNO FERREIRA,2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
KAAN OFLI,JAVIER REYES,2026-06-27,Genghis,Blair,W,L,red_win,Submission,1,4:16,3 Rnd (5-5-5),Rich Mitchell,Arm Triangle From Mount,Featherweight Bout,,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",1,0,17 of 26,7 of 35,65.0,20.0,42 of 53,7 of 35,0 of 0,0 of 0,,,1,0,0,0,0:32,0:00,9 of 17,3 of 29,4 of 5,2 of 4,4 of 4,2 of 2,13 of 21,7 of 35,0 of 0,0 of 0,4 of 5,0 of 0,52.0,42.0,23.0,28.0,23.0,28.0,76.0,100.0,0.0,0.0,23.0,0.0,,,256,17,26,7,35,65.0,20.0,42,53,7,35,0,0,0,0,,,9,17,3,29,4,5,2,4,4,4,2,2,13,21,7,35,0,0,0,0,4,5,0,0,KAAN OFLI,JAVIER REYES,2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
NAZIM SADYKHOV,MATHEUS CAMILO,2026-06-27,Black Wolf,Jaguar,L,W,blue_win,KO/TKO,1,1:31,3 Rnd (5-5-5),Rich Mitchell,Punch to Head At Distance,Lightweight Bout,,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",0,1,0 of 16,4 of 10,0.0,40.0,0 of 16,4 of 10,0 of 0,0 of 0,,,0,0,0,0,0:00,0:03,0 of 10,3 of 8,0 of 1,0 of 0,0 of 5,1 of 2,0 of 16,2 of 6,0 of 0,0 of 0,0 of 0,2 of 4,33.0,75.0,34.0,0.0,33.0,25.0,33.0,50.0,34.0,0.0,33.0,50.0,,,91,0,16,4,10,0.0,40.0,0,16,4,10,0,0,0,0,,,0,10,3,8,0,1,0,0,0,5,1,2,0,16,2,6,0,0,0,0,0,0,2,4,NAZIM SADYKHOV,MATHEUS CAMILO,2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
NURSULTON RUZIBOEV,ANDREY PULYAEV,2026-06-27,Black,,W,L,red_win,Submission,1,3:58,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,Middleweight Bout,,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",0,0,1 of 3,2 of 6,33.0,33.0,13 of 18,15 of 23,2 of 2,0 of 0,100.0,,1,0,0,0,2:28,0:00,0 of 1,0 of 4,1 of 2,2 of 2,0 of 0,0 of 0,1 of 3,2 of 6,0 of 0,0 of 0,0 of 0,0 of 0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,,,238,1,3,2,6,33.0,33.0,13,18,15,23,2,2,0,0,100.0,,0,1,0,4,1,2,2,2,0,0,0,0,1,3,2,6,0,0,0,0,0,0,0,0,NURSULTON RUZIBOEV,ANDREY PULYAEV,2026-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
