fighter_key,fighter_id,fighter_name,nick_name,wins,losses,draws,height,weight,reach,stance,date_of_birth,height_cm,weight_lbs,reach_inches,reach_cm,url,slpm,str_acc,str_acc_num,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_acc_num,takedowns_def,sub_avg,source_match
AALON CRUZ,003d82fa384ca1d0,Aalon Cruz,,8.0,4.0,0.0,"6' 0""",145 lbs.,"78""",Switch,1989-09-20,182.88,145.0,78.0,198.12,http://ufcstats.com/fighter-details/003d82fa384ca1d0,7.58,39%,39.0,8.88,58%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON BRINK,cf1a88371c8cb690,Aaron Brink,,26.0,26.0,0.0,"6' 3""",205 lbs.,,Orthodox,1974-11-12,190.5,205.0,,,http://ufcstats.com/fighter-details/cf1a88371c8cb690,3.49,42%,42.0,5.71,57%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON ELY,1741343f0ca34dd5,Aaron Ely,,,,,"5' 8""",135 lbs.,,,1989-03-18,172.72,135.0,,,http://ufcstats.com/fighter-details/1741343f0ca34dd5,0.82,15%,15.0,0.66,69%,2.47,100%,100.0,50%,4.9,"fighter_tott, raw_fighter_details"
AARON JEFFERY,ccdcb20370be62a3,Aaron Jeffery,,,,,"6' 2""",185 lbs.,"73""",Orthodox,1992-11-14,187.96,185.0,73.0,185.42,http://ufcstats.com/fighter-details/ccdcb20370be62a3,6.21,84%,84.0,4.14,39%,0.0,0%,0.0,75%,0.0,"fighter_tott, raw_fighter_details"
AARON LANFRANCO,d73e856f150744b2,Aaron Lanfranco,,,,,,155 lbs.,,,1986-08-26,,155.0,,,http://ufcstats.com/fighter-details/d73e856f150744b2,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
AARON MILLER,a4d055f1435d6d75,Aaron Miller,,,,,"5' 9""",145 lbs.,,,,175.26,145.0,,,http://ufcstats.com/fighter-details/a4d055f1435d6d75,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
AARON PHILLIPS,34c2b3656f88f7ef,Aaron Phillips,The Dragon,12.0,5.0,0.0,"5' 9""",135 lbs.,"71""",Southpaw,1989-08-05,175.26,135.0,71.0,180.34,http://ufcstats.com/fighter-details/34c2b3656f88f7ef,1.65,56%,56.0,3.44,39%,0.0,0%,0.0,44%,0.4,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON PICO,5537efc6e496dd84,Aaron Pico,,13.0,5.0,0.0,"5' 8""",145 lbs.,"70""",Orthodox,1996-09-23,172.72,145.0,70.0,177.8,http://ufcstats.com/fighter-details/5537efc6e496dd84,6.16,53%,53.0,3.11,45%,6.54,50%,50.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON RILEY,f2c8ebbeafd45f2b,Aaron Riley,,30.0,14.0,1.0,"5' 8""",155 lbs.,"69""",Southpaw,1980-12-09,172.72,155.0,69.0,175.26,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,3.45,34%,34.0,3.78,61%,1.18,34%,34.0,60%,0.1,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON ROSA,11f8860028b68fcf,Aaron Rosa,,18.0,6.0,0.0,"6' 4""",205 lbs.,"77""",Orthodox,1983-05-28,193.04,205.0,77.0,195.58,http://ufcstats.com/fighter-details/11f8860028b68fcf,4.03,47%,47.0,4.41,45%,0.36,33%,33.0,85%,0.4,"fighter_tott, raw_fighter_details, ufc_dataset"
